NUMERO,REGION,F4,F5,P32,P33_C,P33_H,P33_S,P33_W,P56,P56_1,P57,P58,P60,FACTOR_TOTAL,P59_A,P59_B,P59_C,P59_D,P59_E,P59_F,P59_G,P59_H,P59_I,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8,P61B_9,P61B_OTRO,P61B_OTRO_COD,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61A_9,P61A_OTRO,P61A_OTRO_COD,anio,tamano_empresa,es_mipyme,sector
693,1,1,1,3,2,2,4,3,3,3,1,2,,103.51764705882353,,,,,,,,,,,,,,,,7.0,,,,,,,,,5.0,,,,,,,2024,Micro,1,Industria
695,1,3,1,3,4,2,2,2,3,4,3,2,,272.0928725701944,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,6.0,,,,,,2024,Micro,1,Servicios
696,1,1,1,2,3,3,3,2,2,3,3,2,,103.51764705882353,,,,,,,,,,,,,4.0,,,,,,,,1.0,2.0,,,,,,,,,,2024,Micro,1,Industria
697,1,3,1,4,3,4,3,3,2,3,3,1,1.0,272.0928725701944,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,7.0,,,,,,2.0,,,5.0,,,,,,,2024,Micro,1,Servicios
699,1,2,1,4,3,2,2,4,3,2,1,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,7.0,,,,,,2.0,,,,,,,,,,2024,Micro,1,Comercio
700,1,3,2,2,1,1,2,2,2,2,3,2,,170.04225352112675,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,7.0,,,,,2024,Pequeña,1,Servicios
701,1,3,1,3,2,3,3,2,2,1,2,2,,272.0928725701944,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
702,1,1,1,1,4,1,4,2,2,3,3,1,1.0,103.51764705882353,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,2.0,,4.0,5.0,,,,,,,,2.0,,4.0,,6.0,,,,,,2024,Micro,1,Industria
705,1,3,1,5,3,2,3,2,2,3,3,2,,272.0928725701944,,,,,,,,,,,,3.0,,,,,,,,,1.0,2.0,3.0,,,,,,,,,2024,Micro,1,Servicios
706,1,3,1,3,4,2,2,2,1,5,3,1,1.0,272.0928725701944,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,3.0,4.0,,,,,,,,,,3.0,,,,,,,,,2024,Micro,1,Servicios
708,1,2,1,4,2,2,3,1,1,3,2,2,,209.6189111747851,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,5.0,,,,,,,2024,Micro,1,Comercio
709,1,3,1,3,3,4,3,3,3,4,2,2,,272.0928725701944,,,,,,,,,,,,,,,,7.0,,,,,1.0,,,4.0,,,,,,,,2024,Micro,1,Servicios
710,1,3,1,2,2,2,1,1,2,3,1,1,2.0,272.0928725701944,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,6.0,,,,,,,,,,,,7.0,,,,,2024,Micro,1,Servicios
711,1,2,1,1,3,3,3,1,3,4,2,2,,209.6189111747851,,,,,,,,,,,,,,5.0,6.0,,,,,,,,,,5.0,,,,,,,2024,Micro,1,Comercio
713,1,3,1,2,3,2,3,2,2,4,3,1,1.0,272.0928725701944,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,2024,Micro,1,Servicios
714,1,3,1,4,3,4,4,3,3,3,2,2,,272.0928725701944,,,,,,,,,,1.0,,,,,,7.0,,,,,,,3.0,,,,7.0,,,,,2024,Micro,1,Servicios
715,1,2,1,4,4,2,4,1,2,2,3,2,,209.6189111747851,,,,,,,,,,1.0,,3.0,,,,,,,,,1.0,2.0,,,,,,,,,,2024,Micro,1,Comercio
716,1,3,1,3,4,1,1,1,2,1,3,1,1.0,272.0928725701944,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,3.0,4.0,,,,,,,,,,,,5.0,,,,,,,2024,Micro,1,Servicios
719,1,2,1,3,1,2,3,5,2,3,3,1,1.0,209.6189111747851,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,,,,,,,7.0,,,,,,2.0,,,,,,,,,,2024,Micro,1,Comercio
720,1,2,1,4,4,1,5,1,2,92,2,1,2.0,209.6189111747851,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Comercio
722,1,2,1,3,3,5,2,3,3,4,3,1,2.0,209.6189111747851,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,4.0,,,,,,,,,,,,,,7.0,,,,,2024,Micro,1,Comercio
724,1,3,3,2,2,1,1,1,2,1,3,1,2.0,77.29824561403508,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,,,,,,6.0,,,,,,1.0,2.0,,4.0,5.0,,,,,,,2024,Mediana,1,Servicios
725,1,1,3,4,5,4,4,3,2,3,2,2,,80.52941176470588,,,,,,,,,,1.0,,,,,,7.0,,,,,1.0,,,,,6.0,,,,,,2024,Mediana,1,Industria
727,1,2,1,3,3,1,2,2,2,2,3,1,1.0,209.6189111747851,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,,4.0,5.0,6.0,7.0,8.0,,,,1.0,2.0,,4.0,,6.0,7.0,,,,,2024,Micro,1,Comercio
728,1,1,1,2,3,3,1,1,3,4,2,2,,103.51764705882353,,,,,,,,,,1.0,2.0,,,,,,,,,,1.0,,3.0,,,,,,,,,2024,Micro,1,Industria
729,1,3,1,3,1,2,3,1,2,4,3,1,2.0,272.0928725701944,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,5.0,,,,,,,2024,Micro,1,Servicios
731,1,2,1,4,2,2,4,4,3,3,3,2,,209.6189111747851,,,,,,,,,,,,,,,,,8.0,,,,1.0,2.0,,,,,,,,,,2024,Micro,1,Comercio
733,1,3,1,3,3,4,2,1,3,4,2,2,,272.0928725701944,,,,,,,,,,1.0,,,4.0,5.0,,7.0,8.0,,,,1.0,2.0,3.0,4.0,,6.0,7.0,,,,,2024,Micro,1,Servicios
734,1,3,1,3,4,3,3,1,3,4,3,2,,272.0928725701944,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
735,1,2,1,4,3,2,4,3,2,3,3,2,,209.6189111747851,,,,,,,,,,1.0,,3.0,4.0,,,,8.0,,,,,2.0,,,,,,,,,,2024,Micro,1,Comercio
736,1,2,1,4,4,4,4,5,2,3,1,2,,209.6189111747851,,,,,,,,,,,,,,,,7.0,,,,,,2.0,,,,,,,,,,2024,Micro,1,Comercio
737,1,2,1,3,3,1,1,5,2,1,3,2,,209.6189111747851,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Comercio
739,1,2,1,4,4,3,3,3,1,5,2,2,,209.6189111747851,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,1.0,2.0,,4.0,,,7.0,,,,,2024,Micro,1,Comercio
741,1,2,1,3,2,1,1,4,2,4,1,2,,209.6189111747851,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Comercio
742,1,1,1,3,3,2,3,4,2,3,1,2,,103.51764705882353,,,,,,,,,,,,,4.0,,6.0,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Industria
744,1,3,2,3,2,3,3,3,2,1,2,2,,170.04225352112675,,,,,,,,,,1.0,,3.0,4.0,,6.0,,,,,,,,,,,,,,90.0,,,2024,Pequeña,1,Servicios
745,1,2,1,4,4,3,3,2,1,4,1,2,,209.6189111747851,,,,,,,,,,1.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Comercio
746,1,3,1,1,3,1,2,1,2,2,3,1,2.0,272.0928725701944,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,3.0,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
748,1,2,1,3,3,2,4,2,3,3,1,2,,209.6189111747851,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Comercio
749,1,3,1,4,4,4,4,3,2,3,2,2,,272.0928725701944,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
750,1,2,1,2,1,1,1,1,2,1,3,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Comercio
751,1,2,1,2,3,1,2,1,2,3,2,2,,209.6189111747851,,,,,,,,,,,,,4.0,,6.0,,,,,,1.0,2.0,,,,,7.0,,,,,2024,Micro,1,Comercio
752,1,1,1,3,3,2,4,3,3,4,1,2,,103.51764705882353,,,,,,,,,,,,,4.0,5.0,6.0,,,,,,,,,,,6.0,,,,,,2024,Micro,1,Industria
753,1,3,1,4,4,2,3,2,3,3,2,2,,272.0928725701944,,,,,,,,,,,,,,5.0,,,,,,,,,3.0,,,6.0,7.0,,,,,2024,Micro,1,Servicios
754,1,1,1,1,4,4,2,1,2,2,3,2,,103.51764705882353,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,,,,,,2024,Micro,1,Industria
755,1,2,1,3,2,2,3,3,3,3,2,2,,209.6189111747851,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Comercio
756,1,3,1,1,2,1,2,2,2,3,2,2,,272.0928725701944,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,7.0,,,,,2024,Micro,1,Servicios
758,1,3,1,5,4,4,4,3,1,5,2,2,,272.0928725701944,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
759,1,2,1,2,4,3,4,3,3,2,1,2,,209.6189111747851,,,,,,,,,,1.0,,,,5.0,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Comercio
760,1,3,1,1,1,1,3,1,3,3,2,2,,272.0928725701944,,,,,,,,,,,2.0,,,,,,,,,,,,,,5.0,,,,,,,2024,Micro,1,Servicios
761,1,2,2,3,2,2,3,2,2,3,2,2,,90.64285714285714,,,,,,,,,,1.0,,,,,,,,,,,,,,,5.0,,7.0,,,,,2024,Pequeña,1,Comercio
762,1,3,1,1,1,1,1,1,1,3,3,1,1.0,272.0928725701944,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,1.0,,,,5.0,,,,,,,2024,Micro,1,Servicios
763,1,3,1,3,4,2,2,2,2,4,3,2,,272.0928725701944,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
764,1,2,1,4,5,1,5,1,2,1,3,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,,,,,,6.0,,,,,,2024,Micro,1,Comercio
765,1,3,1,4,3,4,3,4,3,3,2,2,,272.0928725701944,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Servicios
766,1,3,1,4,1,1,1,1,2,1,3,2,,272.0928725701944,,,,,,,,,,,2.0,,,,,7.0,,,,,1.0,,,,,,,,,,,2024,Micro,1,Servicios
767,1,3,1,3,3,4,3,4,1,4,2,2,,272.0928725701944,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Servicios
768,1,3,1,4,4,3,4,3,1,4,3,1,1.0,272.0928725701944,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,4.0,5.0,,,,,,,,,,,,,7.0,,,,,2024,Micro,1,Servicios
769,1,1,1,4,5,5,2,2,1,5,2,1,1.0,103.51764705882353,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,CÁMARAS,92.0,1.0,2.0,3.0,,,6.0,7.0,,,,,2024,Micro,1,Industria
770,1,1,1,4,4,2,2,3,3,4,1,2,,103.51764705882353,,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Industria
771,1,3,1,4,3,2,4,1,2,1,1,1,2.0,272.0928725701944,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,5.0,,,,,,,,,,,5.0,,,,,,,2024,Micro,1,Servicios
773,1,3,1,3,3,4,1,1,2,1,3,2,,272.0928725701944,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
774,1,2,1,4,3,2,3,3,1,3,3,2,,209.6189111747851,,,,,,,,,,1.0,,,4.0,,,,,,INCREMENTO DE LOS COSTOS,10.0,1.0,2.0,,4.0,5.0,6.0,7.0,,,,,2024,Micro,1,Comercio
775,1,1,1,3,4,4,1,2,1,3,2,2,,103.51764705882353,,,,,,,,,,1.0,,,,,,,,,,,,2.0,3.0,,,,,,,,,2024,Micro,1,Industria
776,1,3,1,3,4,2,2,1,3,1,3,2,,272.0928725701944,,,,,,,,,,1.0,2.0,3.0,4.0,,6.0,7.0,8.0,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
777,1,1,1,3,2,3,1,1,3,3,3,2,,103.51764705882353,,,,,,,,,,,2.0,,4.0,,6.0,,,,,,,,,,5.0,,7.0,,,,,2024,Micro,1,Industria
778,1,3,1,2,3,2,3,3,2,2,3,2,,272.0928725701944,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
779,1,3,1,3,2,1,2,1,2,2,3,1,1.0,272.0928725701944,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,1.0,2.0,3.0,,5.0,,,,,,,2024,Micro,1,Servicios
780,1,3,1,5,5,4,5,5,2,3,3,2,,272.0928725701944,,,,,,,,,,1.0,,,4.0,,,,,,,,1.0,,,,5.0,6.0,,,,,,2024,Micro,1,Servicios
782,1,3,1,4,1,1,1,3,2,3,3,2,,272.0928725701944,,,,,,,,,,,,,,,,,8.0,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
783,1,3,1,5,2,3,3,2,2,92,2,2,,272.0928725701944,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Servicios
784,1,3,1,1,2,1,2,1,2,3,3,2,,272.0928725701944,,,,,,,,,,1.0,2.0,3.0,4.0,,6.0,7.0,8.0,,,,,,,,,6.0,,,,,,2024,Micro,1,Servicios
785,1,3,1,2,5,1,5,5,3,3,3,1,1.0,272.0928725701944,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,1.0,2.0,,4.0,,,,,,,,2024,Micro,1,Servicios
787,1,1,1,3,2,2,3,1,2,1,3,2,,103.51764705882353,,,,,,,,,,,,,4.0,,,,,,,,,2.0,,4.0,,,,,,,,2024,Micro,1,Industria
788,1,3,1,3,1,3,3,1,1,4,2,2,,272.0928725701944,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,1.0,2.0,3.0,,,6.0,7.0,,,,,2024,Micro,1,Servicios
789,1,2,1,3,2,2,2,2,2,3,3,2,,209.6189111747851,,,,,,,,,,,,,,5.0,,,,,,,1.0,,,,,,,,,,,2024,Micro,1,Comercio
790,1,3,1,4,4,4,3,4,3,3,3,2,,272.0928725701944,,,,,,,,,,1.0,2.0,,,5.0,,,,,,,,,,,5.0,,7.0,,,,,2024,Micro,1,Servicios
791,1,3,1,1,1,1,1,1,2,1,2,2,,272.0928725701944,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
792,1,2,1,3,3,3,2,3,1,1,2,2,,209.6189111747851,,,,,,,,,,,,3.0,,,6.0,,,,,,,2.0,3.0,,,,,,,,,2024,Micro,1,Comercio
793,1,3,1,3,2,2,2,2,2,3,2,2,,272.0928725701944,,,,,,,,,,,2.0,,,,,,,,,,,,,4.0,,,,,,,,2024,Micro,1,Servicios
794,1,1,1,4,1,1,2,1,3,3,3,2,,103.51764705882353,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,NO PERMITIR PERSONAS EXTRAÑAS A. LA PUERTA,15.0,2024,Micro,1,Industria
795,1,1,1,3,1,4,1,1,2,1,3,2,,103.51764705882353,,,,,,,,,,1.0,,,,,,,8.0,,,,,,,,,,,,,SEGURIDAD PROPIA,16.0,2024,Micro,1,Industria
796,1,2,1,5,4,4,5,4,1,3,1,2,,209.6189111747851,,,,,,,,,,1.0,,,,,6.0,,8.0,,,,,2.0,3.0,,,,,,,,,2024,Micro,1,Comercio
799,1,3,1,4,4,4,5,3,2,1,1,2,,272.0928725701944,,,,,,,,,,,,,,,6.0,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
802,1,3,1,3,4,1,4,2,2,1,3,2,,272.0928725701944,,,,,,,,,,,,,,,,,,,NINGUNA,8.0,1.0,2.0,3.0,,5.0,,,,,,,2024,Micro,1,Servicios
803,1,3,1,3,3,3,3,1,2,1,3,2,,272.0928725701944,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Servicios
804,1,3,1,4,3,3,4,3,2,3,3,2,,272.0928725701944,,,,,,,,,,1.0,,,4.0,5.0,6.0,,8.0,,,,1.0,,,,,,,,,,,2024,Micro,1,Servicios
805,1,2,1,2,3,1,2,1,2,2,3,2,,209.6189111747851,,,,,,,,,,,2.0,3.0,,,6.0,,,,,,,,,,,6.0,7.0,,,,,2024,Micro,1,Comercio
808,1,3,1,4,3,3,4,3,2,3,3,2,,272.0928725701944,,,,,,,,,,1.0,,3.0,,,6.0,,,,,,1.0,2.0,,,,,,,,,,2024,Micro,1,Servicios
809,1,2,1,4,2,2,2,2,2,2,2,2,,209.6189111747851,,,,,,,,,,1.0,,3.0,4.0,,,,8.0,,,,,,,,5.0,,7.0,,,,,2024,Micro,1,Comercio
811,1,3,1,4,3,4,2,2,2,3,3,2,,272.0928725701944,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
812,1,3,2,3,4,3,4,3,3,4,2,2,,170.04225352112675,,,,,,,,,,,,,,,,7.0,,,,,1.0,2.0,3.0,4.0,5.0,,,,,,,2024,Pequeña,1,Servicios
813,1,3,1,3,4,3,4,3,2,4,3,2,,272.0928725701944,,,,,,,,,,,,,,5.0,,,,,,,,2.0,3.0,,5.0,,,,,,,2024,Micro,1,Servicios
814,1,3,1,4,4,2,3,3,2,3,3,2,,272.0928725701944,,,,,,,,,,,,,,,,7.0,,,,,,,,4.0,,,,,,,,2024,Micro,1,Servicios
815,1,3,1,3,3,3,2,2,2,3,2,2,,272.0928725701944,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
816,1,1,1,2,3,3,3,3,2,1,3,2,,103.51764705882353,,,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,2024,Micro,1,Industria
817,1,3,1,5,3,3,5,4,3,3,3,2,,272.0928725701944,,,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,2024,Micro,1,Servicios
818,1,3,1,4,2,3,2,2,2,4,2,2,,272.0928725701944,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,2024,Micro,1,Servicios
820,1,3,1,3,5,4,5,4,1,4,2,2,,272.0928725701944,,,,,,,,,,,,3.0,,,,,,,,,,,,,,6.0,,,,,,2024,Micro,1,Servicios
821,1,2,1,3,3,3,4,4,2,3,2,2,,209.6189111747851,,,,,,,,,,,,,,,,,8.0,,,,,,,,5.0,,,,,,,2024,Micro,1,Comercio
822,1,1,1,4,4,3,2,3,3,3,3,2,,103.51764705882353,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,7.0,,,,,2024,Micro,1,Industria
823,1,3,1,4,3,2,2,2,2,3,2,2,,272.0928725701944,,,,,,,,,,1.0,,,4.0,,,,,,,,1.0,,,4.0,5.0,,,,,,,2024,Micro,1,Servicios
824,1,2,1,3,3,1,2,1,2,2,2,2,,209.6189111747851,,,,,,,,,,,2.0,3.0,4.0,,,,,,,,,,,,5.0,,,,,,,2024,Micro,1,Comercio
825,1,1,1,4,2,3,2,2,1,5,2,2,,103.51764705882353,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Industria
827,1,2,1,3,3,3,2,3,3,3,2,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,,,,,5.0,,,,,,,2024,Micro,1,Comercio
828,1,3,1,4,4,4,4,4,2,3,3,2,,272.0928725701944,,,,,,,,,,1.0,2.0,,4.0,,,,,,,,1.0,2.0,3.0,,,6.0,7.0,,,,,2024,Micro,1,Servicios
829,1,2,2,1,3,2,2,1,3,2,3,1,1.0,90.64285714285714,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,,,,,,5.0,,,,,,,2024,Pequeña,1,Comercio
832,1,3,1,4,5,4,4,3,2,4,1,2,,272.0928725701944,,,,,,,,,,,,,4.0,,,,,,,,,,3.0,,,,,,,,,2024,Micro,1,Servicios
833,1,3,1,2,2,3,2,1,2,1,3,1,1.0,272.0928725701944,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Servicios
835,1,2,1,3,2,2,4,4,3,3,3,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,,,5.0,,,,,,,2024,Micro,1,Comercio
836,1,2,1,4,5,4,5,5,1,2,2,2,,209.6189111747851,,,,,,,,,,,,,,5.0,,,,,,,1.0,,3.0,,,,7.0,,,,,2024,Micro,1,Comercio
837,1,3,1,3,2,1,2,1,2,1,2,2,,272.0928725701944,,,,,,,,,,,,,,,,,,,no sabe,92.0,,,,,5.0,,,,,,,2024,Micro,1,Servicios
839,1,2,1,1,2,1,2,1,2,1,3,1,1.0,209.6189111747851,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,1.0,2.0,,4.0,,,,,,,,2024,Micro,1,Comercio
840,1,3,1,4,3,4,1,1,3,5,3,2,,272.0928725701944,,,,,,,,,,,,3.0,4.0,,6.0,,8.0,,,,1.0,2.0,,4.0,5.0,,,,,,,2024,Micro,1,Servicios
841,1,3,1,3,4,3,3,3,2,1,3,1,2.0,272.0928725701944,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,1.0,2.0,,4.0,5.0,,7.0,,,,,2024,Micro,1,Servicios
843,1,2,1,3,3,2,1,1,3,1,2,1,1.0,209.6189111747851,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,4.0,,,,,,,,,2.0,,,5.0,,,,,,,2024,Micro,1,Comercio
844,1,3,1,2,1,1,3,1,2,3,2,2,,272.0928725701944,,,,,,,,,,1.0,,3.0,,,,,,,,,1.0,2.0,,,,,,,,,,2024,Micro,1,Servicios
845,1,1,1,3,1,1,1,3,2,1,3,1,1.0,103.51764705882353,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,3.0,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Industria
846,1,3,1,3,4,3,3,3,2,4,3,2,,272.0928725701944,,,,,,,,,,,,3.0,,,,,8.0,,,,,2.0,,,,6.0,7.0,,,,,2024,Micro,1,Servicios
847,1,2,1,4,3,3,3,3,2,3,2,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,4.0,,,7.0,,,,,2024,Micro,1,Comercio
848,1,3,2,4,2,4,1,1,1,4,2,1,2.0,170.04225352112675,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,4.0,5.0,,,,,,,,2.0,,,,,7.0,,,,,2024,Pequeña,1,Servicios
849,1,3,1,2,2,2,2,2,2,1,2,2,,272.0928725701944,,,,,,,,,,,,,,,,,,,NINGUNO,8.0,,2.0,,,,,,,,,,2024,Micro,1,Servicios
850,1,3,1,3,3,1,4,1,3,2,3,1,1.0,272.0928725701944,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,,8.0,,,,1.0,2.0,,,5.0,,7.0,,,,,2024,Micro,1,Servicios
851,1,3,1,3,1,1,3,1,2,1,3,1,2.0,272.0928725701944,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,,,,,5.0,,,,,,,2024,Micro,1,Servicios
852,1,1,1,3,5,4,5,3,2,1,2,1,2.0,103.51764705882353,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,2024,Micro,1,Industria
853,1,2,1,4,4,4,4,3,3,5,2,2,,209.6189111747851,,,,,,,,,,,,,,,,7.0,,,,,,,,,,6.0,,,,,,2024,Micro,1,Comercio
855,1,2,1,1,2,2,2,1,3,2,3,1,1.0,209.6189111747851,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,4.0,5.0,,,8.0,,,,,2.0,,4.0,5.0,,,,,,,2024,Micro,1,Comercio
856,1,3,1,4,2,2,3,2,2,3,2,2,,272.0928725701944,,,,,,,,,,,,,,,,,8.0,,,,,,3.0,,5.0,,7.0,,,,,2024,Micro,1,Servicios
857,1,2,1,4,2,1,3,3,2,2,3,2,,209.6189111747851,,,,,,,,,,1.0,,,4.0,,,7.0,,,,,1.0,2.0,,,5.0,,,,,,,2024,Micro,1,Comercio
858,1,3,1,3,2,4,3,5,1,3,2,2,,272.0928725701944,,,,,,,,,,,,,4.0,,,,,,,,1.0,2.0,,,,,,,,,,2024,Micro,1,Servicios
860,1,1,1,3,2,2,2,2,2,3,3,2,,103.51764705882353,,,,,,,,,,1.0,2.0,,4.0,5.0,6.0,,8.0,,,,,,,,,,,,90.0,,,2024,Micro,1,Industria
861,1,3,1,3,4,1,2,1,2,1,3,1,2.0,272.0928725701944,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,3.0,4.0,5.0,6.0,7.0,8.0,,,,1.0,2.0,3.0,,5.0,6.0,7.0,,,,,2024,Micro,1,Servicios
862,1,2,1,2,5,2,3,2,1,4,2,2,,209.6189111747851,,,,,,,,,,,,,4.0,,6.0,,,,,,,2.0,,,,,7.0,,,,,2024,Micro,1,Comercio
863,1,3,1,3,2,3,5,3,3,3,2,2,,272.0928725701944,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,90.0,,,2024,Micro,1,Servicios
864,1,3,1,1,4,3,2,1,2,1,3,2,,272.0928725701944,,,,,,,,,,1.0,,,,,,,,,,,,,,,,6.0,,,,,,2024,Micro,1,Servicios
865,1,3,1,3,3,3,2,4,1,5,2,2,,272.0928725701944,,,,,,,,,,,2.0,,,,,,,,,,,,,4.0,,,,,,,,2024,Micro,1,Servicios
866,1,2,1,3,5,3,3,3,1,5,2,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,,,,,,,,2024,Micro,1,Comercio
867,1,3,1,4,1,1,1,1,1,1,3,2,,272.0928725701944,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,5.0,,7.0,,,,,2024,Micro,1,Servicios
