NUMERO,REGION,F4,F5,P32,P33_C,P33_H,P33_S,P33_W,P56,P56_1,P57,P58,P60,FACTOR_TOTAL,P59_A,P59_B,P59_C,P59_D,P59_E,P59_F,P59_G,P59_H,P59_I,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8,P61B_9,P61B_OTRO,P61B_OTRO_COD,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61A_9,P61A_OTRO,P61A_OTRO_COD,anio,tamano_empresa,es_mipyme,sector
95,1,3,2,4,3,4,3,3,3,4,3,2,,170.04225352112675,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,2024,Pequeña,1,Servicios
97,1,1,1,3,2,3,2,1,2,3,1,2,,103.51764705882353,,,,,,,,,,,,,4.0,,,7.0,,,,,,,3.0,,5.0,,,,,,,2024,Micro,1,Industria
99,1,2,1,4,3,2,2,1,3,2,3,2,,209.6189111747851,,,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,,1.0,2.0,3.0,,5.0,6.0,7.0,,,,,2024,Micro,1,Comercio
100,1,3,1,4,4,4,4,4,3,4,2,2,,272.0928725701944,,,,,,,,,,,,,,,6.0,7.0,,,,,,2.0,,,,,7.0,,,,,2024,Micro,1,Servicios
101,1,2,1,4,2,1,2,1,2,2,3,2,,209.6189111747851,,,,,,,,,,1.0,,,,,,,,,,,,,,,5.0,,,,,,,2024,Micro,1,Comercio
102,1,1,1,3,2,3,1,1,3,1,1,1,1.0,103.51764705882353,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,3.0,,,,7.0,,,,,1.0,2.0,,,5.0,,7.0,,,,,2024,Micro,1,Industria
103,1,3,1,3,2,2,2,2,1,5,2,2,,272.0928725701944,,,,,,,,,,1.0,,,,5.0,,,,,,,,,,,5.0,6.0,7.0,,,,,2024,Micro,1,Servicios
104,1,3,1,1,1,3,1,2,3,4,3,2,,272.0928725701944,,,,,,,,,,,,,,5.0,,7.0,,,,,,,,,,,,,90.0,,,2024,Micro,1,Servicios
105,1,2,1,1,5,3,3,4,1,4,3,2,,209.6189111747851,,,,,,,,,,,,3.0,,,,7.0,,,,,,2.0,,,,6.0,,,,,,2024,Micro,1,Comercio
107,1,3,4,3,3,2,2,1,3,3,3,1,2.0,177.64285714285714,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,,,3.0,4.0,,,,,,,,,2.0,,,,6.0,,,,,,2024,Grande,0,Servicios
108,1,3,3,2,1,2,1,1,3,3,3,2,,77.29824561403508,,,,,,,,,,,2.0,3.0,4.0,,,7.0,,,,,1.0,2.0,,4.0,5.0,6.0,,,,,,2024,Mediana,1,Servicios
109,1,2,3,3,3,3,3,3,2,3,2,2,,63.583333333333336,,,,,,,,,,,,,,,6.0,,,,,,,2.0,,,5.0,,,,,,,2024,Mediana,1,Comercio
