ID,Localidad,UPL,P131_1,P131_2,P131_3,P131_4,P131_5,P131_6,P131_7,P131_8,P131_9,P131_10,P131_11,P131_12,P131_13,P131_14,P131_15,P131_16,P131_17,P131_18,P131_19,P131_20,P131_21,P131_22,P133_1,P133_2,P133_3,P133_4,P133_5,P133_6,P133_7,P133_8,P133_9,P133_10,P133_11,P133_12,P133_13,P134_1,P134_2,P134_3,P134_4,P134_5,P134_6,P134_7,P134_8,P134_9,P134_10,P134_11,P134_12,P130_1,P130_2,P130_3,P130_4,P130_5,P130_6,P130_7,P130_8,P130_9,P130_10,P130_11,P130_12,P130_13,P130_14,P130_15,P130_16,P130_17,P130_18,P130_19,P130_20,P130_21,P130_22,P130_23,P130_24,P130_25,P130_26,P130_27,P8_1,P8_2,P8_3,P152,P800,P801,REDAD,P802,FACTOR_1,FACTOR_2,P129
6249,7,23,1,2,3,4,1,3,3,3,3,2,1,1,3,4,4,4,4,4,99,99,5,5,1,1,1,1,1,1,1,1,1,2,2,99,99,,2.0,,4.0,5.0,,,,,,,,1,2,3,3,1,4,4,4,4,2,1,1,1,3,4,4,4,4,4,99,99,5,5,5,5,5,5,,,,2,1,35,2,6,316.7593530117035,272.0749039993028,4
6250,7,23,2,1,4,4,1,4,3,3,3,2,1,1,3,3,3,3,3,3,99,99,5,4,1,1,1,1,1,1,1,1,1,1,2,99,99,,2.0,,,,,7.0,8.0,,,,,2,1,3,4,1,3,3,3,3,2,2,2,3,3,3,3,3,3,3,99,99,5,99,4,5,5,4,1.0,1.0,1.0,1,2,32,2,5,413.89460884913234,272.0749039993028,4
6251,7,23,2,1,3,3,1,3,3,3,3,1,1,1,4,3,3,3,4,4,99,99,5,5,1,1,1,1,1,1,1,1,1,2,2,99,99,,2.0,,4.0,5.0,,,,,,,,1,1,3,4,1,4,3,3,3,2,1,1,3,3,4,4,4,3,4,99,99,4,4,4,3,3,3,,,,1,2,27,2,3,413.89460884913234,272.0749039993028,4
6252,7,23,1,1,3,3,1,4,4,5,5,4,4,4,3,4,4,4,4,4,99,99,5,5,1,1,1,1,1,1,1,1,1,2,2,99,99,,2.0,,,,,7.0,8.0,,,,,1,1,3,4,1,3,3,3,3,3,3,1,3,3,3,3,3,99,4,99,99,5,1,4,4,4,4,,,,1,2,59,5,3,812.4076751744536,272.0749039993028,5
6253,7,23,2,1,3,4,1,3,3,3,3,3,3,3,3,3,3,4,4,4,99,99,5,5,1,1,1,2,99,1,1,1,1,2,2,99,99,,2.0,,,,,,8.0,9.0,,,,1,1,3,3,1,3,3,3,4,2,1,2,4,3,4,4,4,4,4,99,99,5,3,5,5,5,5,,,,1,1,63,5,2,800.4855499622499,272.0749039993028,4
6254,7,23,4,4,3,99,99,4,4,4,4,4,4,4,4,4,4,4,3,99,99,99,4,4,1,1,2,99,99,99,1,1,99,99,99,99,99,,2.0,,,,,7.0,8.0,,,,,4,1,3,99,99,4,4,4,4,4,4,4,4,4,3,4,3,99,5,99,99,5,3,4,4,5,5,,,,2,2,70,6,2,1596.6087149182479,272.0749039993028,4
6255,7,23,4,1,3,4,1,3,3,3,3,1,1,1,5,4,3,4,4,4,99,99,5,5,1,1,1,1,1,1,1,1,1,2,2,99,99,,,,4.0,5.0,6.0,,,,,,,3,1,3,4,1,3,3,4,4,4,1,1,3,4,4,4,4,4,4,99,99,5,4,4,5,5,5,,,,1,1,46,4,3,612.334904166388,272.0749039993028,4
6256,7,23,2,1,2,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,99,2,2,1,1,2,99,1,99,1,1,1,2,99,1,2,,2.0,,4.0,,,7.0,,,,,,3,3,4,99,99,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,99,5,4,3,4,4,1,,,,2,1,66,6,2,943.9070390082722,272.0749039993028,4
6257,7,23,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,1,99,2,1,2,1,2,99,2,99,1,1,1,2,99,1,2,1.0,2.0,,4.0,,,,,,,,,4,4,4,99,99,5,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,1,,,,2,1,25,2,3,316.7593530117035,272.0749039993028,5
6258,7,23,1,1,2,1,1,2,1,2,1,2,1,2,1,2,2,2,2,3,2,99,2,3,99,1,2,99,2,99,1,1,1,2,99,1,2,1.0,2.0,,4.0,,,,,,,,,4,4,4,4,99,4,4,4,3,5,4,4,4,4,4,4,4,4,3,4,99,2,3,3,4,3,3,4.0,3.0,3.0,3,2,21,1,4,416.61117906761103,272.0749039993028,4
