NUMERO,corredor,PRIMERA,CALL13,FECHA,F5,F6,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P33A,P33B,P33C,P33D,P33E,P33F,P33G,P33H,P33J,P33K,P33L,P34,P37,P40,P43,P43_1A,P43_1B,P43_1C,P43_1D,P43_1E,P43_1F,P43_1G,P44_1,P44_2,P44_3,P44_4,P44_5,P44_6,P44_7,P44_8,P45_1,P45_2,P45_3,P45_4,P45_5,P45_6,P45_7,P30,P31,P32,D1,D2,D3,tramo,corredor_nombre,tamano_empresa,es_mipyme,sector,seguridad_empeoro,fue_victima,indice_satisfaccion,obras_iniciadas
1680,2,13.0,,23/11/2024 3:41:42 p. m.,2,2,2.0,1.0,,0,100,0,0,0,5,3,1,3,5,5,3,5,4,3,5,5,4.0,3,3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,2,35,3,13,Primera Línea Metro,Pequeña,1,Comercio,0,0,3.9166666666666665,1
1681,2,13.0,,23/11/2024 3:47:05 p. m.,3,1,1.0,,,0,0,0,0,100,2,2,1,1,3,1,2,1,3,1,4,3,,5,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,46,5,13,Primera Línea Metro,Micro,1,Servicio,1,1,2.0,1
1682,2,13.0,,23/11/2024 4:09:29 p. m.,2,1,1.0,,,0,100,0,0,0,1,1,1,4,3,1,1,1,1,1,1,3,1.0,3,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,29,5,13,Primera Línea Metro,Micro,1,Comercio,1,1,1.5833333333333333,1
1683,2,13.0,,23/11/2024 4:23:25 p. m.,2,1,2.0,2.0,,0,0,100,0,0,2,3,4,2,3,3,3,3,3,3,3,3,,4,1,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,2,30,3,13,Primera Línea Metro,Micro,1,Comercio,0,0,2.9166666666666665,1
1684,2,13.0,,23/11/2024 4:33:50 p. m.,2,2,2.0,,,0,0,100,0,0,1,1,5,5,5,1,3,2,5,5,1,3,5.0,4,3,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,5,5,5,1,56,2,13,Primera Línea Metro,Pequeña,1,Comercio,0,0,3.0833333333333335,1
1685,2,14.0,,25/11/2024 10:40:32 a. m.,2,2,4.0,3.0,,0,0,100,0,0,2,3,4,4,3,3,3,2,3,2,2,3,,5,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,3,1,4,2,56,4,14,Primera Línea Metro,Pequeña,1,Comercio,1,0,2.8333333333333335,0
1686,2,14.0,,25/11/2024 11:56:37 a. m.,2,1,2.0,1.0,,0,0,100,0,0,1,1,2,2,3,2,1,3,3,1,1,2,,3,2,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,5,4,5,1,22,3,14,Primera Línea Metro,Micro,1,Comercio,1,1,1.8333333333333333,0
1687,2,14.0,,25/11/2024 12:18:01 p. m.,2,2,2.0,1.0,,0,0,50,50,0,2,1,4,3,3,2,1,3,3,3,3,3,,4,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,4,3,4,1,69,5,14,Primera Línea Metro,Pequeña,1,Comercio,0,1,2.5833333333333335,0
1688,2,14.0,,25/11/2024 12:36:26 p. m.,3,4,9.0,4.0,2.0,0,0,80,0,20,4,2,4,4,5,3,3,2,3,5,3,4,5.0,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,1,1,2,27,4,14,Primera Línea Metro,Grande,0,Servicio,0,0,3.5,0
1689,2,14.0,,25/11/2024 1:01:57 p. m.,2,2,2.0,1.0,,0,0,100,0,0,2,4,3,3,3,3,2,3,2,3,4,4,,4,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,2,43,3,14,Primera Línea Metro,Pequeña,1,Comercio,1,0,3.0,0
