Localidad,UPL,A1,A2,A3,A4,P102,P102_1,P103_1,P106,P111,P203,_Capture_gps_latitude,_Capture_gps_longitude,FEX,anio
9. Fontibón,12,1,18,5,2,1,3,2,3,3,1,4.6702774,-74.1546374,403.9847517120811,2025
9. Fontibón,12,1,25,8,2,1,4,2,3,1,2,4.6702872,-74.1547519,494.4542271242861,2025
9. Fontibón,12,1,18,4,2,1,3,2,1,3,2,4.670256,-74.154595,403.9847517120811,2025
9. Fontibón,12,1,25,8,2,1,5,4,2,3,2,4.6704905,-74.154481,494.4542271242861,2025
9. Fontibón,12,1,19,5,3,1,4,2,3,1,2,4.6763234,-74.1515404,403.9847517120811,2025
16. Puente Aranda,31,1,66,3,3,2,3,2,2,3,2,4.6223299,-74.1138551,153.0939385270545,2025
16. Puente Aranda,31,2,59,4,3,2,4,1,3,4,2,4.6208195,-74.1141399,119.6127984769899,2025
16. Puente Aranda,31,1,72,9,3,2,2,2,3,3,2,4.6230289,-74.1127753,109.8446142480217,2025
16. Puente Aranda,31,2,25,8,3,2,3,2,3,1,2,4.6227856,-74.1125547,177.678078706374,2025
16. Puente Aranda,31,1,39,8,3,1,3,1,1,1,1,4.6096046,-74.1068118,116.9617679224555,2025
16. Puente Aranda,31,2,48,7,3,1,5,3,2,3,2,4.6095891,-74.1071104,101.4378888625438,2025
2. Chapinero,6,1,38,5,2,1,4,1,3,2,2,4.6728374,-74.0221581,21.39500462649428,2025
2. Chapinero,23,2,24,8,4,2,2,2,3,1,1,4.6316467,-74.0664667,73.70267831306994,2025
2. Chapinero,6,1,36,5,2,1,1,1,3,1,2,4.6729746,-74.0225305,21.39500462649428,2025
2. Chapinero,6,2,40,8,2,1,3,2,2,3,2,4.6727717,-74.0223291,21.31610077572253,2025
4. San Cristóbal,21,1,25,8,2,2,3,1,3,1,2,4.5656617,-74.0863183,305.7684127787143,2025
4. San Cristóbal,21,2,48,7,2,2,2,2,3,1,1,4.5656083,-74.0866417,264.8523426707902,2025
4. San Cristóbal,21,2,19,5,2,1,5,3,2,2,2,4.5669217,-74.0859133,698.7310404655304,2025
4. San Cristóbal,21,1,31,5,2,1,5,5,2,1,2,4.567580675,-74.08637917,911.907576638161,2025
4. San Cristóbal,21,2,28,3,2,2,2,1,2,2,2,4.5675217,-74.0863933,855.8222526918603,2025
2. Chapinero,24,1,55,8,5,1,5,3,3,1,2,4.6735228,-74.057414,136.0242958598074,2025
2. Chapinero,24,1,71,9,5,2,3,2,3,1,2,4.6729155,-74.0573405,97.3473862099699,2025
2. Chapinero,24,2,23,4,5,1,4,1,3,1,1,4.6730248,-74.0571855,127.3036584446732,2025
2. Chapinero,24,1,26,8,5,2,3,2,3,2,2,4.6738494,-74.0572095,156.5887111935872,2025
2. Chapinero,24,2,63,10,5,2,3,2,2,2,1,4.673259,-74.0575947,103.3391907774025,2025
2. Chapinero,24,2,42,8,6,1,5,4,3,4,2,4.6736417,-74.0569953,155.9533505682661,2025
2. Chapinero,24,1,45,10,6,1,5,3,3,3,2,4.6729155,-74.0573587,130.1802704580115,2025
2. Chapinero,24,2,32,10,6,2,3,2,3,2,2,4.672906,-74.0573096,165.8310241554709,2025
2. Chapinero,24,1,61,8,5,1,5,1,3,5,2,4.6731162,-74.0577083,103.6619271011371,2025
9. Fontibón,12,2,32,7,3,1,4,1,2,1,2,4.676253,-74.1511084,522.8021916943612,2025
9. Fontibón,12,1,65,3,3,1,5,3,3,4,2,4.6763154,-74.1511354,325.6942241323395,2025
9. Fontibón,12,1,35,5,3,1,4,3,1,2,2,4.6770508,-74.1513379,524.6048225993508,2025
9. Fontibón,12,1,19,5,3,1,4,2,3,5,2,4.6701946,-74.154674,403.9847517120811,2025
9. Fontibón,12,2,27,8,3,1,5,2,3,4,2,4.6702147,-74.1546235,492.6725445689083,2025
9. Fontibón,12,1,48,5,3,2,1,2,3,1,1,4.6701812,-74.1546246,430.2067572718161,2025
19. Ciudad Bolívar,3,2,25,5,1,1,4,1,3,1,1,4.5671636,-74.1641777,1125.536775233868,2025
19. Ciudad Bolívar,3,1,76,3,1,2,4,1,3,1,2,4.5762367,-74.1570067,596.1281223850472,2025
2. Chapinero,24,1,32,8,5,1,4,2,2,3,2,4.6825578,-74.0552252,172.4263592083653,2025
2. Chapinero,24,2,49,8,6,2,3,1,3,3,1,4.6823807,-74.056294,140.3986825328873,2025
2. Chapinero,24,2,31,5,6,1,4,2,2,1,2,4.6844297,-74.0563794,171.8137559083939,2025
2. Chapinero,24,2,68,9,6,2,3,2,3,3,2,4.6843798,-74.0563437,100.5774309286059,2025
2. Chapinero,24,2,45,8,6,1,4,3,1,3,2,4.6837709,-74.0562944,134.3710160626647,2025
2. Chapinero,24,1,20,8,6,1,5,1,1,1,1,4.6836085,-74.0550179,132.3899533162844,2025
2. Chapinero,24,2,56,8,6,2,3,1,3,3,2,4.6839237,-74.0559406,109.3116141609333,2025
2. Chapinero,24,2,53,10,6,1,4,3,3,2,2,4.6837435,-74.0553517,140.3986825328873,2025
2. Chapinero,24,2,25,10,6,1,4,2,3,3,2,4.683618,-74.0553306,161.6397833743223,2025
2. Chapinero,24,1,38,10,6,2,3,2,2,2,1,4.6838044,-74.0557025,162.1778275641064,2025
2. Chapinero,24,1,23,8,6,1,4,3,3,2,2,4.6846711,-74.0565534,132.3899533162844,2025
2. Chapinero,24,2,49,9,6,1,4,2,3,3,2,4.6838505,-74.055513,140.3986825328873,2025
2. Chapinero,24,1,62,8,6,1,4,2,2,2,2,4.6829414,-74.0552655,107.4017671340595,2025
19. Ciudad Bolívar,3,1,18,5,1,2,1,2,2,1,2,4.5672952,-74.1641024,922.0865614995765,2025
19. Ciudad Bolívar,3,2,51,5,2,1,3,5,2,3,2,4.5703023,-74.1592601,580.9771637560619,2025
4. San Cristóbal,21,2,20,5,2,1,3,1,1,2,1,4.5656406,-74.0864914,248.7352503726331,2025
4. San Cristóbal,21,2,42,5,2,1,4,3,3,4,2,4.5659003,-74.085467,304.5451665829554,2025
4. San Cristóbal,21,1,37,7,2,2,2,1,3,1,1,4.5662424,-74.0861608,858.6308669135647,2025
4. San Cristóbal,21,2,36,5,2,2,1,1,2,1,2,4.56624,-74.08616,855.5086615044145,2025
4. San Cristóbal,21,2,37,5,2,2,1,1,3,1,1,4.5665688,-74.0859715,855.5086615044145,2025
16. Puente Aranda,31,2,38,7,3,1,4,1,3,1,2,4.6070523,-74.1085271,185.4503685914835,2025
16. Puente Aranda,31,1,39,5,3,1,4,3,2,3,2,4.604473,-74.1142631,317.452559926138,2025
16. Puente Aranda,31,2,35,8,3,1,3,3,2,1,2,4.6082836,-74.1100573,196.8252005397141,2025
4. San Cristóbal,21,2,23,5,2,1,4,3,3,3,2,4.5656467,-74.0868333,248.7352503726331,2025
4. San Cristóbal,21,1,35,8,2,1,3,1,2,1,2,4.566385,-74.0857491,911.907576638161,2025
4. San Cristóbal,21,1,33,8,2,1,5,2,3,1,2,4.5669233,-74.0864933,911.907576638161,2025
2. Chapinero,6,1,36,7,2,1,3,3,2,1,2,4.6706097,-74.020457,54.51687343616623,2025
2. Chapinero,6,1,45,5,2,1,5,1,3,2,2,4.6706833,-74.02071,45.33950566169084,2025
2. Chapinero,6,2,20,5,2,1,4,4,2,3,2,4.6703667,-74.0200767,44.33763213503146,2025
2. Chapinero,6,2,58,5,2,1,2,1,3,1,2,4.6695256,-74.0187112,36.74563609479233,2025
2. Chapinero,6,2,59,4,2,2,4,1,3,3,2,4.66976,-74.0188833,36.74563609479233,2025
4. San Cristóbal,21,1,22,5,2,2,2,1,2,1,2,4.5555625,-74.0898541,230.5697705626681,2025
4. San Cristóbal,21,2,19,5,2,1,5,1,3,3,2,4.5555813,-74.0900259,229.7031221738171,2025
4. San Cristóbal,21,2,64,3,2,2,3,1,3,1,2,4.5560167,-74.089865,185.6686033661321,2025
9. Fontibón,12,1,53,5,2,1,5,1,3,1,2,4.692695826,-74.16981345,496.2192436922488,2025
16. Puente Aranda,31,2,59,7,3,2,4,1,2,1,2,4.6210178,-74.1138614,119.6127984769899,2025
16. Puente Aranda,31,2,57,7,3,2,3,3,3,3,2,4.6230781,-74.1127825,119.6127984769899,2025
16. Puente Aranda,31,2,32,8,3,1,3,1,3,1,2,4.6231124,-74.1126927,188.5078785414818,2025
16. Puente Aranda,31,1,38,5,3,1,4,3,2,3,1,4.6233995,-74.1122323,178.2544233962223,2025
16. Puente Aranda,31,1,38,8,3,2,3,1,3,1,2,4.6228243,-74.1125682,178.2544233962223,2025
16. Puente Aranda,31,2,50,7,3,2,4,1,3,1,2,4.6225287,-74.1127711,154.5954093453071,2025
16. Puente Aranda,31,2,43,5,3,1,4,1,3,2,2,4.6222206,-74.1129792,177.613717461259,2025
16. Puente Aranda,31,1,32,7,3,2,2,2,3,2,2,4.6227006,-74.1128423,189.1553911968918,2025
2. Chapinero,24,1,36,8,6,1,4,3,2,3,2,4.6844488,-74.0566241,162.1778275641064,2025
2. Chapinero,24,2,40,8,6,1,4,2,3,1,1,4.6835632,-74.056623,161.5797227574938,2025
2. Chapinero,24,2,54,7,6,1,4,1,3,2,2,4.6838314,-74.0555739,140.3986825328873,2025
2. Chapinero,24,2,42,10,6,1,4,3,1,2,2,4.6838438,-74.0555442,161.5797227574938,2025
2. Chapinero,24,2,45,9,6,1,4,3,3,2,1,4.684241,-74.056377,134.3710160626647,2025
1. Usaquén,26,2,52,11,4,2,4,1,2,2,2,4.739670043,-74.04387901,448.8542077066633,2025
9. Fontibón,30,2,79,5,3,1,4,4,3,2,2,4.674071478,-74.12142323,138.7657110425166,2025
19. Ciudad Bolívar,4,1,23,8,1,1,3,2,3,1,2,4.550499938,-74.16082954,206.3317161362519,2025
16. Puente Aranda,31,1,30,5,3,1,3,1,3,1,2,4.6217129,-74.1126755,189.1553911968918,2025
16. Puente Aranda,31,1,80,3,3,1,2,3,3,2,2,4.6213656,-74.1120899,206.0575044419931,2025
16. Puente Aranda,31,1,70,5,3,1,5,5,3,3,2,4.6210003,-74.1120287,109.8446142480217,2025
16. Puente Aranda,31,2,58,4,3,2,3,1,2,1,1,4.6211564,-74.1122391,119.6127984769899,2025
9. Fontibón,12,2,27,5,3,1,4,1,3,4,2,4.6813386,-74.145795,292.9577911577139,2025
9. Fontibón,12,2,26,5,3,1,3,2,3,2,2,4.6809586,-74.1459244,292.9577911577139,2025
4. San Cristóbal,21,1,55,4,2,1,4,3,2,3,2,4.5635848,-74.0829036,292.0679499567242,2025
4. San Cristóbal,21,2,18,5,2,2,5,1,3,4,2,4.5658214,-74.0849989,248.7352503726331,2025
16. Puente Aranda,31,1,47,8,3,1,5,1,3,3,2,4.6097737,-74.1068974,101.8231693177209,2025
16. Puente Aranda,31,1,20,5,3,1,4,3,3,4,2,4.6118816,-74.1122176,215.215598264216,2025
16. Puente Aranda,31,2,51,8,3,1,4,2,3,2,2,4.6098925,-74.1071063,101.4378888625438,2025
16. Puente Aranda,31,2,18,5,3,2,4,2,3,3,2,4.6092535,-74.1067799,95.25486960933291,2025
16. Puente Aranda,31,1,48,8,3,1,3,1,3,2,1,4.6093168,-74.1055676,101.8231693177209,2025
16. Puente Aranda,31,1,43,7,3,1,3,2,3,4,2,4.6157101,-74.1096531,192.5470603959398,2025
16. Puente Aranda,31,2,47,5,3,1,4,1,3,1,2,4.6094643,-74.1066429,101.4378888625438,2025
16. Puente Aranda,31,1,38,5,3,1,3,1,3,1,2,4.6158479,-74.1099856,192.5470603959398,2025
16. Puente Aranda,31,1,24,7,3,1,4,2,3,3,2,4.6156051,-74.1090922,157.406313420205,2025
16. Puente Aranda,31,2,66,8,3,2,3,2,2,3,2,4.6094421,-74.1070226,71.85951513799199,2025
16. Puente Aranda,31,2,64,8,3,2,2,2,3,2,2,4.6092711,-74.1055863,76.7893850245187,2025
16. Puente Aranda,31,2,49,8,3,2,2,1,3,1,2,4.6092579,-74.1055513,101.4378888625438,2025
16. Puente Aranda,31,3,56,8,3,2,1,1,3,1,2,4.609335,-74.106825,78.48402361900445,2025
16. Puente Aranda,31,2,35,9,3,2,3,2,3,2,2,4.6097998,-74.1069921,123.6895798793989,2025
16. Puente Aranda,31,1,27,8,3,1,3,1,3,1,1,4.609264,-74.1055204,117.004047891455,2025
16. Puente Aranda,31,2,44,10,3,2,3,2,3,1,1,4.6098063,-74.1070419,116.5413682631149,2025
16. Puente Aranda,31,2,34,7,3,2,3,1,3,1,2,4.6091304,-74.1062883,123.6895798793989,2025
16. Puente Aranda,31,2,38,5,3,2,3,3,3,3,1,4.6100811,-74.1077569,116.5413682631149,2025
16. Puente Aranda,31,2,47,7,3,1,4,1,3,2,2,4.6114689,-74.1069123,101.4378888625438,2025
16. Puente Aranda,31,2,59,8,3,2,3,3,3,3,2,4.61077516387561,-74.1069929380425,78.48402361900445,2025
16. Puente Aranda,31,2,30,10,3,1,4,1,3,1,2,4.61020224450654,-74.1072656444996,123.6895798793989,2025
16. Puente Aranda,31,1,45,7,3,1,4,3,3,1,2,4.6099034,-74.1071466,97.43026177573297,2025
16. Puente Aranda,31,2,31,8,3,2,4,3,3,4,1,4.610321,-74.1067167,123.6895798793989,2025
16. Puente Aranda,31,2,43,9,3,2,2,2,3,2,2,4.6106835,-74.1067321,116.5413682631149,2025
16. Puente Aranda,31,2,39,7,3,1,3,1,3,1,2,4.6105689,-74.10687,116.5413682631149,2025
16. Puente Aranda,31,2,82,5,3,1,5,1,3,4,2,4.6118774,-74.1118309,303.3871171596237,2025
16. Puente Aranda,31,1,63,4,3,1,5,3,3,5,2,4.6114654,-74.1126077,173.4096565195549,2025
16. Puente Aranda,31,1,78,3,3,2,1,1,3,1,2,4.6099837,-74.1072473,95.86261326363065,2025
16. Puente Aranda,31,2,28,8,3,1,4,3,3,2,2,4.6093731,-74.106541,116.5835989403173,2025
16. Puente Aranda,31,2,45,8,3,1,4,3,2,2,2,4.6091119,-74.106266,97.06168472496371,2025
4. San Cristóbal,21,2,39,9,2,1,3,1,3,3,2,4.5669639,-74.0802493,236.3235673504951,2025
4. San Cristóbal,21,1,38,5,2,2,2,2,1,3,2,4.5636036,-74.0828557,335.7886827310991,2025
16. Puente Aranda,31,1,81,8,3,1,4,3,2,3,2,4.6207146,-74.11235,206.0575044419931,2025
16. Puente Aranda,31,1,28,7,3,2,3,1,3,1,2,4.6199588,-74.1128086,178.3188597640123,2025
16. Puente Aranda,31,2,45,8,3,1,4,1,3,2,2,4.6197658,-74.1130171,147.9258987944262,2025
16. Puente Aranda,31,2,77,7,3,1,3,1,3,3,2,4.6199081,-74.1128725,145.5469032380939,2025
16. Puente Aranda,31,2,27,7,3,1,3,2,3,3,2,4.6218772,-74.1244221,164.6071601492867,2025
16. Puente Aranda,31,1,42,4,2,1,4,3,1,4,2,4.62185,-74.1242783,165.1411059424526,2025
16. Puente Aranda,31,2,31,5,3,2,3,1,3,1,2,4.6220783,-74.1238433,174.640263888484,2025
16. Puente Aranda,31,1,18,5,3,1,3,1,3,1,2,4.6223621,-74.1237902,135.0020749581129,2025
16. Puente Aranda,31,2,38,9,3,1,3,3,3,2,2,4.6211329,-74.123755,164.5475336502881,2025
16. Puente Aranda,31,2,73,5,3,2,4,4,3,4,2,4.6210695,-74.1237835,101.4601609839215,2025
16. Puente Aranda,31,1,40,7,3,1,3,3,2,2,2,4.6211195,-74.1240318,165.1411059424526,2025
16. Puente Aranda,31,1,41,5,3,2,2,2,3,2,2,4.6210516,-74.1237098,165.1411059424526,2025
16. Puente Aranda,31,2,59,99,3,1,5,3,2,4,2,4.6210934,-74.1237288,110.8134622917887,2025
16. Puente Aranda,31,1,50,7,3,2,3,2,3,2,2,4.6211162,-74.123672,143.7665579990407,2025
16. Puente Aranda,31,2,28,8,3,1,4,3,2,4,2,4.6216503,-74.1240515,164.6071601492867,2025
16. Puente Aranda,31,2,56,5,3,2,2,1,3,1,2,4.6219082,-74.1243062,110.8134622917887,2025
16. Puente Aranda,31,1,27,5,3,1,3,3,3,3,2,4.6219547,-74.1244397,165.2008020377135,2025
16. Puente Aranda,31,1,19,7,2,2,3,3,2,3,2,4.6215485,-74.1242449,135.0020749581129,2025
16. Puente Aranda,31,1,27,7,3,1,3,3,2,2,2,4.6223425,-74.1237929,165.2008020377135,2025
16. Puente Aranda,31,1,37,9,3,1,3,2,3,1,1,4.6222018,-74.123769,165.1411059424526,2025
16. Puente Aranda,31,2,60,3,3,1,4,1,2,3,2,4.6223244,-74.1237919,110.8134622917887,2025
16. Puente Aranda,31,1,51,4,3,1,4,1,3,1,2,4.621986,-74.1247853,143.7665579990407,2025
16. Puente Aranda,31,1,31,5,3,1,3,3,3,1,2,4.6223477,-74.1237632,175.2401421635295,2025
16. Puente Aranda,31,2,61,7,3,2,2,2,3,3,2,4.620994,-74.1237586,108.4207616970808,2025
16. Puente Aranda,31,1,62,8,3,2,3,3,3,3,2,4.6210507,-74.123737,108.7777263206208,2025
16. Puente Aranda,31,2,54,7,3,1,4,4,2,5,2,4.62187,-74.124175,143.222571347709,2025
16. Puente Aranda,31,2,58,4,3,2,3,1,3,3,2,4.6219569,-74.1241477,110.8134622917887,2025
16. Puente Aranda,31,2,40,8,3,1,4,4,3,3,2,4.622488,-74.1237904,164.5475336502881,2025
16. Puente Aranda,31,2,50,5,3,1,4,3,3,2,2,4.6225834,-74.1237859,143.222571347709,2025
16. Puente Aranda,31,1,55,8,3,1,4,2,3,2,2,4.6222833,-74.1237083,143.7665579990407,2025
16. Puente Aranda,31,2,28,6,3,1,4,2,3,1,2,4.6222409,-74.1237536,164.6071601492867,2025
16. Puente Aranda,31,2,60,7,3,2,1,1,3,1,2,4.6223593,-74.1238146,110.8134622917887,2025
16. Puente Aranda,31,1,67,5,3,1,3,3,2,3,2,4.6217021,-74.123914,101.7638762232524,2025
16. Puente Aranda,31,1,20,7,3,1,4,2,3,2,2,4.6222832,-74.1238171,135.0020749581129,2025
16. Puente Aranda,31,2,58,7,3,1,3,1,3,4,2,4.621171,-74.1236813,110.8134622917887,2025
18. Rafael Uribe Uribe,20,2,18,5,2,1,3,2,3,2,2,4.564146,-74.1111628,204.2659727182279,2025
16. Puente Aranda,31,3,41,9,3,1,4,1,3,1,2,4.6224206,-74.123829,164.5475336502881,2025
16. Puente Aranda,31,1,54,4,3,2,2,2,2,2,1,4.6223447,-74.1238324,143.7665579990407,2025
16. Puente Aranda,31,2,42,8,3,1,5,1,3,1,1,4.6223767,-74.1237933,164.5475336502881,2025
16. Puente Aranda,31,1,24,7,3,2,4,1,2,1,2,4.62194,-74.1237267,135.0020749581129,2025
16. Puente Aranda,31,1,59,5,3,2,3,2,3,1,2,4.6219583,-74.1237383,111.1875094352893,2025
16. Puente Aranda,31,2,34,7,3,1,3,2,3,2,2,4.6213977,-74.1237796,174.640263888484,2025
16. Puente Aranda,31,1,32,8,3,2,3,3,2,1,2,4.6208726,-74.1237192,175.2401421635295,2025
16. Puente Aranda,31,1,62,7,3,2,3,3,3,4,2,4.6268561,-74.1176254,447.0145833358142,2025
16. Puente Aranda,31,1,37,7,3,1,3,2,3,1,2,4.6209767,-74.1236833,165.1411059424526,2025
4. San Cristóbal,21,2,27,8,2,2,3,3,3,2,2,4.5639269,-74.0842916,231.794165123128,2025
19. Ciudad Bolívar,4,1,64,5,2,1,5,5,3,5,2,4.554935,-74.1352533,343.6880061370549,2025
17. La Candelaria,23,2,29,5,2,1,5,1,3,1,2,4.59119822,-74.07086168,20.6086414275072,2025
6. Tunjuelito,19,2,67,3,3,2,3,2,3,2,2,4.576902205,-74.13272509,80.09525161828958,2025
5. Usme,5,2,46,7,1,2,2,1,1,1,2,4.494391062,-74.10947353,173.6728878813981,2025
2. Chapinero,6,2,26,7,2,1,4,3,2,3,2,4.671333501,-74.02257492,50.69119664361173,2025
4. San Cristóbal,21,2,56,5,2,2,1,1,3,1,2,4.5667935,-74.0803925,159.3883503201053,2025
6. Tunjuelito,19,1,19,8,3,1,4,3,2,2,2,4.576783722,-74.13268436,107.1867778932035,2025
16. Puente Aranda,31,2,38,7,3,2,2,2,3,2,2,4.6048248,-74.1228572,280.1603479888111,2025
16. Puente Aranda,31,1,64,4,3,2,3,1,3,2,2,4.6060288,-74.1236748,185.2060920231447,2025
16. Puente Aranda,31,1,19,5,3,1,4,3,2,4,2,4.6052589,-74.1229195,229.8559416870982,2025
16. Puente Aranda,31,1,32,5,3,1,4,4,1,2,2,4.6056894,-74.123386,298.3656948300736,2025
16. Puente Aranda,31,1,34,10,3,2,2,2,3,2,2,4.6058194,-74.1235564,298.3656948300736,2025
16. Puente Aranda,31,1,65,5,3,1,4,3,3,4,2,4.6047667,-74.1230724,185.2060920231447,2025
16. Puente Aranda,31,1,30,8,3,1,4,1,2,1,2,4.6050807,-74.1234235,298.3656948300736,2025
16. Puente Aranda,31,2,35,9,3,2,3,1,3,1,2,4.6053433,-74.1235381,297.3443358187326,2025
16. Puente Aranda,31,1,59,5,3,1,1,2,3,1,2,4.6061841,-74.1242199,189.3090139023504,2025
16. Puente Aranda,31,2,25,7,3,1,4,1,3,1,1,4.6060973,-74.1238521,280.2618686882602,2025
16. Puente Aranda,31,1,33,4,3,1,3,2,3,2,2,4.6055765,-74.123796,298.3656948300736,2025
16. Puente Aranda,31,1,23,7,3,2,3,1,2,2,2,4.6059312,-74.1236336,229.8559416870982,2025
4. San Cristóbal,5,2,18,5,2,1,2,2,3,3,2,4.5291583,-74.08487,169.2211349703825,2025
4. San Cristóbal,5,2,23,7,2,2,3,2,1,1,2,4.5290274,-74.0848583,169.2211349703825,2025
4. San Cristóbal,5,1,27,5,2,1,4,3,2,2,2,4.529085,-74.0847017,208.0222958788127,2025
16. Puente Aranda,31,1,38,8,3,2,3,1,3,3,2,4.6049546,-74.1237476,281.1709703678904,2025
16. Puente Aranda,31,2,33,8,3,1,4,3,3,3,2,4.6049228,-74.1237051,297.3443358187326,2025
16. Puente Aranda,31,2,55,8,3,2,3,1,3,3,2,4.6061007,-74.1237488,243.8522446280143,2025
6. Tunjuelito,19,2,66,4,2,1,4,4,3,3,2,4.56599213,-74.13368899,85.76863937311795,2025
4. San Cristóbal,5,2,35,7,2,1,4,1,2,1,2,4.5295097,-74.083813,220.0805663454372,2025
4. San Cristóbal,5,2,36,3,2,2,3,3,2,1,2,4.5297007,-74.0840462,207.1900893086366,2025
4. San Cristóbal,5,1,45,8,2,1,3,2,3,1,1,4.5296333,-74.0841183,173.0730298343044,2025
4. San Cristóbal,5,1,18,5,2,1,3,2,1,1,2,4.5299783,-74.08469,169.8595904802325,2025
4. San Cristóbal,5,1,32,5,2,2,3,1,3,1,2,4.5300417,-74.0848583,220.8489764587941,2025
4. San Cristóbal,5,2,29,7,2,2,3,2,3,2,2,4.5291967,-74.085115,220.0805663454372,2025
9. Fontibón,30,2,29,9,3,2,3,1,3,2,2,4.6571591,-74.1296051,365.0369446558911,2025
19. Ciudad Bolívar,4,1,57,7,1,1,4,2,3,1,2,4.5507883,-74.147855,315.3604717801072,2025
19. Ciudad Bolívar,4,2,22,5,1,2,3,2,1,1,2,4.5515269,-74.1456213,380.0377638194319,2025
19. Ciudad Bolívar,4,1,40,4,2,1,2,1,3,1,2,4.5515429,-74.1456093,467.1726236065587,2025
19. Ciudad Bolívar,4,1,45,7,2,2,2,3,1,2,2,4.55183,-74.1456733,388.6624321212075,2025
19. Ciudad Bolívar,4,2,29,7,1,2,3,2,3,3,2,4.5552898,-74.1392855,403.1109190570191,2025
19. Ciudad Bolívar,4,1,30,7,1,2,3,3,2,2,2,4.5550551,-74.1392293,404.5325964880107,2025
6. Tunjuelito,19,2,67,4,3,1,4,2,3,1,2,4.574662513,-74.1370445,59.59131030678835,2025
16. Puente Aranda,31,2,49,5,3,2,4,1,3,3,2,4.6215317,-74.1241867,143.222571347709,2025
16. Puente Aranda,31,2,71,4,3,2,3,1,3,5,2,4.62156,-74.1240967,101.4601609839215,2025
16. Puente Aranda,31,2,46,5,3,2,3,3,3,1,1,4.6211783,-74.1237067,143.222571347709,2025
16. Puente Aranda,31,2,26,9,3,1,4,2,3,2,1,4.6196618,-74.124029,164.6071601492867,2025
16. Puente Aranda,31,1,46,5,3,1,3,1,3,3,2,4.6213873,-74.124656,143.7665579990407,2025
16. Puente Aranda,31,1,35,8,3,2,3,2,3,2,2,4.6216837,-74.12369,175.2401421635295,2025
16. Puente Aranda,31,1,70,5,3,2,3,3,3,4,2,4.6201413,-74.1240461,101.7638762232524,2025
16. Puente Aranda,31,2,45,9,3,1,3,2,3,1,2,4.6200651,-74.1239722,137.0437044927804,2025
16. Puente Aranda,31,2,18,4,3,2,3,1,3,2,2,4.6198793,-74.1239972,134.4926191960309,2025
16. Puente Aranda,31,2,37,8,3,1,3,2,3,1,2,4.6200733,-74.12406,164.5475336502881,2025
4. San Cristóbal,5,2,32,7,2,1,5,5,2,1,2,4.5296833,-74.085235,220.0805663454372,2025
4. San Cristóbal,5,1,38,5,2,2,2,1,3,1,2,4.5295133,-74.084485,207.9462359692959,2025
4. San Cristóbal,5,2,24,5,2,1,5,1,2,1,2,4.529285,-74.0850033,169.2211349703825,2025
4. San Cristóbal,5,2,31,5,2,1,3,1,2,1,2,4.5290517,-74.0852283,220.0805663454372,2025
4. San Cristóbal,5,2,25,5,2,2,3,2,2,1,2,4.5287788,-74.085049,207.2660359226884,2025
19. Ciudad Bolívar,4,1,26,5,2,2,3,3,2,3,1,4.5506808,-74.1480907,467.3447018741404,2025
19. Ciudad Bolívar,4,2,19,5,1,2,3,3,1,1,2,4.55068,-74.1481283,380.0377638194319,2025
19. Ciudad Bolívar,4,1,42,3,2,1,5,3,2,1,2,4.5515383,-74.145475,467.1726236065587,2025
16. Puente Aranda,31,1,58,7,3,2,2,2,2,2,2,4.621158,-74.1236669,111.1875094352893,2025
16. Puente Aranda,31,1,44,9,3,2,2,3,3,1,2,4.6210933,-74.12371,165.1411059424526,2025
16. Puente Aranda,31,1,29,8,3,1,4,3,3,4,2,4.6197729,-74.1239702,175.2401421635295,2025
16. Puente Aranda,31,2,26,8,3,2,3,1,3,1,1,4.621165,-74.12365,164.6071601492867,2025
16. Puente Aranda,31,1,24,7,3,1,4,3,2,4,2,4.6216143,-74.1242436,135.0020749581129,2025
16. Puente Aranda,31,1,38,8,3,1,3,3,2,1,2,4.621794,-74.1240886,165.1411059424526,2025
16. Puente Aranda,31,2,49,8,3,1,3,3,2,3,2,4.6197279,-74.1238958,143.222571347709,2025
16. Puente Aranda,31,2,62,3,3,1,3,1,3,1,2,4.6197363,-74.1240007,108.4207616970808,2025
16. Puente Aranda,31,2,37,8,3,1,4,3,3,1,1,4.6199554,-74.1237912,164.5475336502881,2025
16. Puente Aranda,31,1,57,8,3,2,3,4,2,4,1,4.6200538,-74.1240078,111.1875094352893,2025
11. Suba,28,2,70,3,3,2,3,1,3,2,2,4.738124509,-74.09196248,290.0401550145642,2025
10. Engativá,30,2,18,5,3,1,5,3,3,1,2,4.6777221,-74.1099856,101.600793193628,2025
16. Puente Aranda,31,1,41,3,3,2,2,1,3,1,2,4.621645,-74.1243817,165.1411059424526,2025
16. Puente Aranda,31,1,43,7,3,1,4,3,2,1,2,4.6216783,-74.1245267,165.1411059424526,2025
16. Puente Aranda,31,1,34,5,3,1,4,3,2,3,2,4.621815,-74.1239883,175.2401421635295,2025
16. Puente Aranda,31,2,56,5,3,2,3,1,3,2,2,4.622099,-74.1240017,110.8134622917887,2025
16. Puente Aranda,31,1,64,5,3,1,4,4,2,3,2,4.6215021,-74.1243984,108.7777263206208,2025
16. Puente Aranda,31,1,38,9,3,2,2,1,3,3,2,4.6214483,-74.1243733,165.1411059424526,2025
16. Puente Aranda,31,1,36,5,3,2,1,2,3,1,1,4.61986,-74.1238017,165.1411059424526,2025
