Localidad,UPL,A1,A2,A3,A4,P102,P102_1,P103_1,P106,P111,P203,_Capture_gps_latitude,_Capture_gps_longitude,FEX,anio
11. Suba,28,2,61,3,2,2,1,3,3,1,2,4.7434567,-74.0999979,361.8178020983852,2025
11. Suba,28,1,71,3,2,2,1,1,3,1,2,4.740916,-74.0992763,495.7426383729315,2025
8. Kennedy,15,2,70,1,2,2,1,1,3,1,2,4.6365038,-74.1784684,21.45347453417756,2025
8. Kennedy,15,1,40,7,2,2,3,1,2,2,2,4.6368315,-74.1782441,34.98282494647756,2025
8. Kennedy,15,2,64,4,2,2,3,1,3,3,2,4.6365615,-74.1785529,22.94687862691194,2025
8. Kennedy,15,2,60,4,2,1,3,1,3,4,1,4.6363643,-74.1784884,23.45940028793128,2025
8. Kennedy,15,2,57,7,2,2,3,1,3,2,2,4.6366036,-74.1787013,23.45940028793128,2025
8. Kennedy,15,2,44,7,2,2,2,1,3,1,2,4.6361656,-74.1785602,34.85808767725037,2025
8. Kennedy,15,2,45,3,2,2,3,1,3,1,2,4.6365801,-74.1788254,29.05014424163772,2025
8. Kennedy,15,2,47,3,2,2,3,1,3,1,2,4.6369183,-74.1787878,30.35973656821873,2025
6. Tunjuelito,19,2,25,5,2,1,5,5,1,5,2,4.5678993,-74.1300004,75.8822760633914,2025
11. Suba,28,2,38,5,3,1,3,1,3,2,2,4.7429949,-74.1003164,549.0160007094867,2025
11. Suba,28,1,24,5,3,1,5,1,3,1,2,4.7433628,-74.1005567,450.3913927453546,2025
11. Suba,28,1,41,5,2,1,5,1,3,2,2,4.743885,-74.1001769,550.9992626240451,2025
11. Suba,28,2,45,5,2,2,1,1,2,1,2,4.7417085,-74.100346,667.2980377129263,2025
3. Santa Fe,23,2,37,10,3,2,1,1,3,5,2,4.601525,-74.0711983,103.3212102466907,2025
3. Santa Fe,23,1,64,7,4,1,3,3,3,1,1,4.6015252,-74.0710505,68.1825477880797,2025
3. Santa Fe,23,2,28,3,1,1,1,1,2,1,2,4.6090683,-74.0751367,86.27353477849276,2025
11. Suba,28,1,73,5,2,1,4,2,3,2,2,4.7432121,-74.1004389,339.6590601028934,2025
11. Suba,28,2,24,5,2,1,4,3,1,3,1,4.7438468,-74.1001102,448.6924048312631,2025
8. Kennedy,16,1,64,4,3,2,3,2,2,1,2,4.6341261,-74.1794865,280.8627517605457,2025
8. Kennedy,16,2,19,5,2,2,3,1,3,2,1,4.6342222,-74.1790718,347.777647726307,2025
8. Kennedy,16,2,22,8,2,1,3,1,3,1,2,4.6341772,-74.1794951,347.777647726307,2025
11. Suba,9,2,44,9,3,1,4,2,3,1,2,4.7510132,-74.0995654,743.1056846411177,2025
3. Santa Fe,23,1,42,9,3,2,1,3,2,1,2,4.5924388,-74.0868283,86.69487327670706,2025
3. Santa Fe,23,2,36,7,2,2,1,1,3,1,2,4.5918554,-74.0868357,86.38956464317913,2025
3. Santa Fe,23,1,38,7,2,2,1,3,2,1,2,4.592425,-74.0868826,86.69487327670706,2025
3. Santa Fe,23,1,59,7,2,2,1,3,3,3,1,4.5912818,-74.0853804,58.3077962606464,2025
3. Santa Fe,23,1,37,3,3,1,2,1,3,4,2,4.59017,-74.0857705,86.69487327670706,2025
3. Santa Fe,23,1,44,3,1,2,2,1,3,3,2,4.5908733,-74.084505,86.69487327670706,2025
3. Santa Fe,23,1,49,8,3,2,1,1,2,1,1,4.5909133,-74.0848433,75.60399033400775,2025
3. Santa Fe,23,2,60,5,2,2,3,3,3,1,1,4.5910559,-74.0847948,58.10640560248789,2025
3. Santa Fe,23,1,36,7,2,1,4,3,2,3,2,4.6122183,-74.0736318,86.54770096306109,2025
3. Santa Fe,23,2,36,8,2,1,3,1,1,1,2,4.6113301,-74.0738042,86.2429106182886,2025
8. Kennedy,15,2,48,8,2,2,3,3,3,2,2,4.6364129,-74.178509,30.35973656821873,2025
4. San Cristóbal,21,2,50,5,2,2,1,1,3,2,2,4.561518176,-74.08831494,151.1924378847494,2025
3. Santa Fe,23,2,34,3,2,1,3,3,3,4,2,4.611335,-74.0737447,91.40480366539232,2025
3. Santa Fe,23,1,45,5,3,2,1,1,3,2,2,4.6113442,-74.0737013,72.2251599424759,2025
8. Kennedy,15,2,54,5,2,2,2,1,3,2,2,4.6358521,-74.1787143,30.35973656821873,2025
8. Kennedy,15,2,72,3,2,2,2,2,2,2,2,4.6366722,-74.1785625,21.45347453417756,2025
3. Santa Fe,23,1,45,10,3,2,2,3,3,2,2,4.6107128,-74.0730371,72.2251599424759,2025
8. Kennedy,15,2,24,8,2,2,3,3,3,2,1,4.63658,-74.1787273,28.50863212664502,2025
3. Santa Fe,23,2,49,4,3,2,1,2,3,2,1,4.6106688,-74.0734172,75.1912445766803,2025
8. Kennedy,15,2,29,8,2,1,4,2,3,2,2,4.6365417,-74.1789181,36.97557774929498,2025
3. Santa Fe,23,2,49,2,2,2,5,3,3,1,1,4.6123514,-74.0739525,75.1912445766803,2025
8. Kennedy,15,1,69,3,2,2,2,2,3,1,2,4.6364618,-74.1789415,21.51871248243265,2025
8. Kennedy,15,1,21,7,2,1,3,3,3,1,2,4.6365786,-74.1788217,28.61681117246327,2025
11. Suba,9,1,34,8,3,1,4,2,3,1,2,4.7509845,-74.0980942,791.4776582612274,2025
11. Suba,9,2,40,8,3,2,3,1,3,2,2,4.7511459,-74.0977826,743.1056846411175,2025
11. Suba,9,1,36,8,3,1,3,3,2,1,2,4.7510753,-74.0995158,745.7900748973872,2025
11. Suba,9,2,24,10,3,1,3,3,2,1,2,4.7512026,-74.0993788,607.3154083934223,2025
3. Santa Fe,23,1,60,4,2,2,3,3,3,3,2,4.5906977,-74.0848485,58.3077962606464,2025
3. Santa Fe,23,2,48,12,2,2,1,1,3,1,2,4.6119206,-74.0735192,75.1912445766803,2025
3. Santa Fe,23,2,38,5,3,2,3,3,2,1,2,4.6119617,-74.0733817,86.2429106182886,2025
3. Santa Fe,23,1,31,5,2,2,1,1,3,1,2,4.5902491,-74.0854226,91.8661900440469,2025
3. Santa Fe,23,1,52,5,3,1,4,3,3,2,2,4.6027914,-74.0701861,90.42175189854413,2025
3. Santa Fe,23,1,34,5,4,2,3,2,2,3,2,4.6029306,-74.0703129,109.8712092751914,2025
3. Santa Fe,23,1,21,5,3,1,4,2,2,2,2,4.6032262,-74.0702732,84.91304274406204,2025
8. Kennedy,15,2,80,5,2,2,4,1,3,4,2,4.6357526,-74.1785223,40.24882301704192,2025
8. Kennedy,15,1,54,8,2,2,3,2,3,1,1,4.6356413,-74.1788374,30.47489892672244,2025
8. Kennedy,15,2,53,12,2,1,3,2,3,3,2,4.6362836,-74.1770943,30.35973656821873,2025
8. Kennedy,15,2,44,4,2,1,3,3,3,3,2,4.6360988,-74.1773691,34.85808767725037,2025
8. Kennedy,15,2,38,4,2,1,5,4,2,3,2,4.6361199,-74.1769172,34.85808767725037,2025
8. Kennedy,15,1,25,5,2,1,4,2,2,3,2,4.6355452,-74.1771173,34.99536847363554,2025
8. Kennedy,16,1,65,8,2,1,4,3,2,4,2,4.6338022,-74.1795088,280.8627517605457,2025
8. Kennedy,16,2,67,5,2,1,5,1,3,2,2,4.6341544,-74.1793513,261.7115712850772,2025
8. Kennedy,16,2,26,1,2,1,5,1,3,1,2,4.6342175,-74.1792036,425.3877157740871,2025
8. Kennedy,15,2,45,5,2,1,4,2,2,2,2,4.6365914,-74.1787814,29.05014424163772,2025
8. Kennedy,15,1,23,3,2,1,3,2,3,1,2,4.6364493,-74.179016,28.61681117246327,2025
8. Kennedy,15,1,20,7,2,1,4,2,2,3,2,4.636437,-74.1790539,28.61681117246327,2025
8. Kennedy,15,2,50,4,2,2,5,1,2,1,2,4.6365384,-74.1786101,30.35973656821873,2025
8. Kennedy,15,2,62,5,2,1,2,3,3,3,2,4.6364451,-74.1791782,22.94687862691193,2025
8. Kennedy,15,2,54,3,2,2,1,1,3,1,2,4.6364368,-74.1789216,30.35973656821873,2025
8. Kennedy,15,2,40,5,2,2,3,1,3,1,2,4.636528,-74.1787166,34.85808767725037,2025
8. Kennedy,15,1,55,5,2,1,3,2,3,2,2,4.636654,-74.1785549,30.47489892672244,2025
6. Tunjuelito,19,1,80,8,3,2,3,1,3,3,2,4.5563583,-74.1238644,238.2172357616689,2025
8. Kennedy,15,2,78,3,2,1,1,1,3,5,2,4.6357403,-74.1785231,28.58233843992466,2025
8. Kennedy,15,2,47,9,2,2,1,1,2,1,2,4.6352953,-74.1789973,30.35973656821872,2025
8. Kennedy,15,2,53,7,2,2,1,1,3,1,2,4.6361789,-74.1775586,30.35973656821873,2025
8. Kennedy,15,1,52,5,2,2,3,1,3,2,2,4.6360327,-74.177433,30.47489892672244,2025
8. Kennedy,15,2,56,4,2,2,2,3,3,2,2,4.6360338,-74.1775024,23.45940028793128,2025
8. Kennedy,15,2,61,7,2,2,3,1,3,3,2,4.6361636,-74.1768964,22.94687862691194,2025
8. Kennedy,15,2,71,4,2,2,1,1,3,1,2,4.6361583,-74.1769177,21.45347453417756,2025
11. Suba,9,2,69,3,3,2,5,1,3,1,2,4.7509759,-74.097874,458.3682092982058,2025
11. Suba,9,2,60,8,3,2,1,1,3,1,2,4.75151,-74.09785,500.511945644308,2025
11. Suba,9,1,48,8,3,1,5,1,3,2,2,4.7509817,-74.0982,649.1883391574341,2025
11. Suba,9,2,39,5,3,2,1,1,1,2,2,4.751,-74.097675,743.1056846411175,2025
11. Suba,9,2,55,5,3,2,1,1,3,1,2,4.7525967,-74.0986733,646.731500465444,2025
11. Suba,9,1,53,5,3,1,5,4,2,3,2,4.7510146,-74.0978168,649.1883391574341,2025
6. Tunjuelito,19,2,54,8,3,1,3,1,3,2,2,4.557534,-74.1231747,179.7698855150845,2025
11. Suba,9,2,20,7,3,1,3,2,2,2,2,4.7511456,-74.0993876,607.3154083934223,2025
11. Suba,9,2,56,5,3,1,3,3,3,3,2,4.7505105,-74.0995415,500.511945644308,2025
11. Suba,9,2,70,8,3,1,4,1,3,2,2,4.7512663,-74.0993391,458.3682092982058,2025
11. Suba,28,1,61,5,2,2,1,1,3,1,2,4.7440433,-74.0994233,363.006290408328,2025
11. Suba,28,1,78,3,2,2,1,1,3,3,2,4.7431283,-74.10032,451.5540795758496,2025
11. Suba,28,2,70,3,2,2,1,1,3,1,2,4.7437483,-74.10016,338.6483057827835,2025
