ANIO,NOMBRE_UPZ,NOMBRE_LOCALIDAD,total_comparendos,comparendos_seguridad,tasa_seguridad
2025,JARDIN BOTANICO,ENGATIVA,2116,340.0,0.16068052930056712
2025,JERUSALEM,CIUDAD BOLIVAR,2958,1623.0,0.5486815415821501
2025,KENNEDY CENTRAL,KENNEDY,2356,1335.0,0.5666383701188455
2025,LA ACADEMIA,SUBA,419,118.0,0.28162291169451076
2025,LA ALHAMBRA,SUBA,2400,412.0,0.17166666666666666
2025,LA CANDELARIA,CANDELARIA,10482,4698.0,0.44819690898683456
2025,LA ESMERALDA,TEUSAQUILLO,1114,589.0,0.5287253141831239
2025,LA FLORA,USME,282,203.0,0.7198581560283688
2025,LA FLORESTA,SUBA,1249,218.0,0.1745396317053643
2025,LA GLORIA,SAN CRISTOBAL,3776,2222.0,0.5884533898305084
2025,LA MACARENA,SANTA FE,1947,729.0,0.37442218798151
2025,LA SABANA,LOS MARTIRES,31453,11001.0,0.3497599593043589
2025,LA URIBE,USAQUEN,3693,480.0,0.12997562956945571
2025,LAS CRUCES,SANTA FE,19842,7219.0,0.3638242112690253
2025,LAS FERIAS,ENGATIVA,7273,2416.0,0.3321875429671387
2025,LAS MARGARITAS,KENNEDY,4529,1257.0,0.27754471185692203
2025,LAS NIEVES,SANTA FE,21069,7960.0,0.3778062556362428
2025,LOS ALCAZARES,BARRIOS UNIDOS,11881,3671.0,0.3089807255281542
2025,LOS ANDES,BARRIOS UNIDOS,6535,1193.0,0.18255547054322876
2025,LOS CEDROS,USAQUEN,4304,787.0,0.18285315985130113
2025,LOS LIBERTADORES,SAN CRISTOBAL,2707,1736.0,0.6413003324713705
2025,LOURDES,SANTA FE,1081,729.0,0.6743755781683626
2025,LUCERO,CIUDAD BOLIVAR,9470,4830.0,0.5100316789862724
2025,MARCO FIDEL SUAREZ,RAFAEL URIBE URIBE,5551,2599.0,0.46820392722032067
2025,MARRUECOS,RAFAEL URIBE URIBE,5016,2017.0,0.4021132376395534
2025,MINUTO DE DIOS,ENGATIVA,3069,1692.0,0.5513196480938416
2025,MODELIA,FONTIBON,502,236.0,0.4701195219123506
2025,MONTE BLANCO,CIUDAD BOLIVAR,46,25.0,0.5434782608695652
2025,MUZU,PUENTE ARANDA,1288,438.0,0.34006211180124224
2025,NIZA,SUBA,2852,566.0,0.19845722300140253
2025,PARDO RUBIO,CHAPINERO,2493,830.0,0.33293221018852787
2025,PARQUE ENTRENUBES,USME,15,10.0,0.6666666666666666
2025,PARQUE SALITRE,BARRIOS UNIDOS,486,136.0,0.27983539094650206
2025,PARQUE SIMON BOLIVAR - CAN,TEUSAQUILLO,2958,667.0,0.22549019607843138
2025,PASEO DE LOS LIBERTADORES,USAQUEN,60,20.0,0.3333333333333333
2025,PATIO BONITO,KENNEDY,15680,5945.0,0.3791454081632653
2025,PUENTE ARANDA,PUENTE ARANDA,4839,618.0,0.1277123372597644
2025,QUINTA PAREDES,TEUSAQUILLO,2343,710.0,0.30303030303030304
2025,QUIROGA,RAFAEL URIBE URIBE,8783,3278.0,0.3732209951041785
2025,RESTREPO,ANTONIO NARI?O,9110,3167.0,0.3476399560922064
2025,SAGRADO CORAZON,SANTA FE,1694,599.0,0.35360094451003543
2025,SAN BLAS,SAN CRISTOBAL,1457,1022.0,0.7014413177762526
2025,SAN CRISTOBAL NORTE,USAQUEN,2054,754.0,0.3670886075949367
2025,SAN FRANCISCO,CIUDAD BOLIVAR,2945,1570.0,0.533106960950764
2025,SAN ISIDRO - PATIOS,CHAPINERO,413,200.0,0.48426150121065376
2025,SAN JOSE,RAFAEL URIBE URIBE,2890,1282.0,0.44359861591695504
2025,SAN JOSE DE BAVARIA,SUBA,4669,835.0,0.1788391518526451
2025,SAN RAFAEL,PUENTE ARANDA,2035,712.0,0.34987714987714985
2025,SANTA BARBARA,USAQUEN,5067,1092.0,0.21551213735938426
2025,SANTA CECILIA,ENGATIVA,1482,810.0,0.5465587044534413
2025,SANTA ISABEL,LOS MARTIRES,4138,1805.0,0.4362010633156114
2025,SIN LOCALIZACION,ANTONIO NARI?O,108,1616.0,14.962962962962964
2025,SIN LOCALIZACION,BARRIOS UNIDOS,183,1616.0,8.830601092896174
