NUMERO,corredor,FECHA,F5,F6,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P33A,P33B,P33C,P33D,P33E,P33F,P33G,P33H,P33J,P33K,P33L,P34,P37,P40,P43,P43_1A,P43_1B,P43_1C,P43_1D,P43_1E,P43_1F,P43_1G,P44_1,P44_2,P44_3,P44_4,P44_5,P44_6,P44_7,P44_8,P45_1,P45_2,P45_3,P45_4,P45_5,P45_6,P45_7,P30,P31,P32,D1,D2,D3,tramo,corredor_nombre,tamano_empresa,es_mipyme,seguridad_empeoro,fue_victima,indice_satisfaccion
363,2,9/10/2024 10:59:45 a. m.,3,1,2.0,2.0,,0,0,100,0,0,1,1,3,4,1,3,1,1,1,5,1,3,1,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0,0,0,0,,,3,4,,,7,5,5,5,2,60,4,5,Primera Línea Metro,Micro,1,0,1,2.0833333333333335
364,2,9/10/2024 11:01:43 a. m.,2,2,2.0,1.0,,0,100,0,0,0,1,1,2,4,4,1,1,2,2,1,1,1,4,5,2,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1,0,1,0,0,1,0,,2,,,,6,7,5,1,1,2,58,4,5,Primera Línea Metro,Pequeña,1,1,1,1.75
365,2,9/10/2024 11:00:55 a. m.,2,2,2.0,2.0,1.0,0,0,100,0,0,3,5,3,3,1,2,5,1,1,4,5,4,5,4,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,,,3,4,,,,1,2,2,2,19,4,5,Primera Línea Metro,Pequeña,1,0,0,3.0833333333333335
366,2,9/10/2024 10:59:02 a. m.,2,2,5.0,2.0,,50,0,50,0,0,3,3,3,3,3,3,3,3,3,3,3,5,1,5,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,,,3,4,,,7,5,1,1,1,31,3,5,Primera Línea Metro,Pequeña,1,1,0,3.1666666666666665
367,2,9/10/2024 11:17:22 a. m.,2,1,1.0,1.0,,100,0,0,0,0,2,1,1,1,1,2,1,2,2,1,1,3,5,5,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,1,2,3,,,,,1,1,1,2,38,3,5,Primera Línea Metro,Micro,1,0,0,1.5
368,2,9/10/2024 11:05:22 a. m.,2,3,3.0,1.0,1.0,0,0,100,0,0,1,1,1,1,1,3,1,1,4,1,1,5,5,5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0,,,3,4,,,,4,5,3,2,49,3,16,Primera Línea Metro,Mediana,1,1,1,1.75
369,2,9/10/2024 11:15:22 a. m.,2,2,1.0,1.0,,0,100,0,0,0,2,3,4,3,5,2,3,4,5,4,4,4,4,4,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,,2,3,,,,7,3,5,1,2,27,3,5,Primera Línea Metro,Pequeña,1,0,0,3.5833333333333335
370,2,9/10/2024 11:18:03 a. m.,2,2,1.0,1.0,,0,0,100,0,0,2,1,3,1,2,3,1,3,1,4,2,4,5,5,3,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,0,0,0,0,0,,2,3,,,,7,1,4,1,2,48,4,5,Primera Línea Metro,Pequeña,1,0,1,2.25
371,2,9/10/2024 11:21:27 a. m.,3,2,3.0,3.0,,0,30,70,0,0,2,1,2,2,1,2,1,2,1,1,1,1,4,5,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,1,,2,3,,,,7,2,2,2,2,58,4,5,Primera Línea Metro,Pequeña,1,1,0,1.4166666666666667
372,2,9/10/2024 11:10:39 a. m.,2,2,2.0,1.0,,100,0,0,0,0,1,1,1,3,2,1,1,3,3,1,1,1,4,5,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,0,0,0,0,1,0,,2,,4,,,7,5,5,5,1,63,3,5,Primera Línea Metro,Pequeña,1,1,1,1.5833333333333333
373,2,9/10/2024 11:41:41 a. m.,2,1,2.0,1.0,,50,50,0,0,0,1,1,3,1,1,1,2,3,2,2,2,4,5,5,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,,2,3,4,,,,2,5,5,2,43,2,5,Primera Línea Metro,Micro,1,0,0,1.9166666666666667
374,2,9/10/2024 11:35:35 a. m.,3,1,2.0,1.0,,100,0,0,0,0,1,5,3,1,1,1,1,1,1,1,5,3,5,5,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,1,,3,,,,7,5,5,5,2,33,4,5,Primera Línea Metro,Micro,1,1,1,2.0
375,2,9/10/2024 11:31:25 a. m.,2,2,2.0,1.0,,100,0,0,0,0,1,2,2,1,1,2,2,4,1,1,1,3,4,5,2,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,1,2,3,,,,,3,3,2,1,40,3,5,Primera Línea Metro,Pequeña,1,1,1,1.75
376,2,9/10/2024 11:56:39 a. m.,2,1,1.0,,,0,0,0,0,100,2,2,3,2,2,2,2,2,1,3,2,3,4,5,3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,,,3,,,,,3,3,5,1,38,3,5,Primera Línea Metro,Micro,1,0,0,2.1666666666666665
